po_id,supplier_id,order_date,delivery_date
70085,1,2024-04-19,2024-05-03
70086,4,2024-07-06,2024-07-11
70087,4,2024-12-10,2024-12-15
70088,3,2024-07-13,2024-07-24
70089,2,2024-07-27,
70090,3,2024-03-04,2024-03-15
70091,2,2024-09-10,2024-09-24
70092,3,2024-10-12,2024-10-16
70093,3,2024-09-09,
70094,3,2024-08-21,2024-08-28
70095,4,2024-04-25,2024-05-02
70096,4,2024-04-06,2024-04-16
70097,3,2024-04-01,
70098,4,2024-12-10,
70099,4,2024-09-24,2024-09-28
70100,1,2024-03-14,2024-03-28
70101,5,2024-02-22,2024-02-27
70102,1,2024-07-05,2024-07-13
70103,2,2024-10-31,2024-11-09
70104,1,2024-04-29,2024-05-13
70105,4,2024-05-22,2024-06-03
70106,5,2024-05-19,2024-06-01
70107,4,2024-07-01,2024-07-13
70108,4,2024-09-05,2024-09-10
70109,4,2024-02-25,
70110,4,2024-09-11,2024-09-16
70111,1,2024-02-20,2024-02-24
70112,4,2024-12-13,
70113,2,2024-07-14,2024-07-22
70114,2,2024-06-04,2024-06-08
70115,1,2024-12-04,2024-12-14
70116,4,2024-04-13,2024-04-23
70117,4,2024-09-15,2024-09-23
70118,5,2024-10-06,
70119,1,2024-08-08,2024-08-12
70120,4,2024-08-18,2024-08-27
70121,4,2024-08-23,
70122,2,2024-10-12,2024-10-19
70123,2,2024-09-08,2024-09-15
70124,4,2024-09-06,2024-09-18
70125,4,2024-12-03,2024-12-14
70126,5,2024-08-28,2024-09-02
70127,5,2024-01-29,2024-02-08
70128,5,2024-07-12,2024-07-20
70129,3,2024-06-13,
70130,5,2024-01-24,
70131,3,2024-06-27,2024-07-09
70132,1,2024-11-16,2024-11-20
70133,4,2024-06-25,2024-07-04
70134,3,2024-01-29,2024-02-04
70135,2,2024-11-27,2024-12-01
70136,1,2024-06-05,
70137,2,2024-01-11,2024-01-14
70138,4,2024-12-02,2024-12-14
70139,5,2024-08-03,2024-08-17
70140,4,2024-10-28,
70141,3,2024-07-12,2024-07-20
70142,5,2024-02-20,2024-02-24
70143,2,2024-06-21,2024-07-04
70144,3,2024-03-26,2024-04-03
70145,4,2024-04-13,2024-04-17
70146,5,2024-04-19,2024-04-22
70147,3,2024-10-20,2024-10-26
70148,5,2024-02-17,2024-02-29
70149,1,2024-10-30,2024-11-03
70150,5,2024-09-28,2024-10-04
70151,3,2024-02-09,2024-02-16
70152,5,2024-06-02,2024-06-13
70153,3,2024-04-12,2024-04-19
70154,5,2024-09-20,2024-10-01
70155,2,2024-01-10,2024-01-21
70156,2,2024-10-22,2024-11-04
70157,4,2024-05-17,2024-05-28
70158,5,2024-08-10,2024-08-24
70159,1,2024-09-24,2024-10-04
70160,2,2024-05-03,2024-05-16
70161,3,2024-08-10,2024-08-14
70162,2,2024-07-30,2024-08-06
70163,2,2024-05-11,2024-05-17
70164,4,2024-05-02,
70165,2,2024-01-15,2024-01-22
70166,4,2024-09-05,2024-09-14
70167,4,2024-11-27,2024-12-03
70168,2,2024-05-19,
70169,3,2024-05-22,2024-05-27
70170,1,2024-09-05,2024-09-08
70171,1,2024-06-09,2024-06-13
70172,4,2024-07-05,2024-07-09
70173,4,2024-03-12,2024-03-24
70174,5,2024-03-02,2024-03-14
70175,5,2024-05-08,2024-05-12
70176,2,2024-11-03,
70177,3,2024-06-17,2024-07-01
70178,4,2024-04-30,2024-05-06
70179,2,2024-02-24,2024-03-02
70180,4,2024-07-28,2024-08-09
70181,1,2024-09-08,2024-09-22
70182,1,2024-06-11,2024-06-21
70183,2,2024-05-22,2024-05-27
70184,3,2024-08-31,2024-09-07
70185,1,2024-11-26,2024-12-08
70186,1,2024-12-05,2024-12-08
70187,2,2024-05-09,2024-05-16
70188,3,2024-12-16,
70189,2,2024-08-14,2024-08-23
70190,3,2024-06-03,
70191,2,2024-06-01,2024-06-06
70192,4,2024-11-19,2024-12-02
70193,4,2024-01-18,2024-01-22
70194,4,2024-08-29,2024-09-06
70195,4,2024-02-21,2024-03-06
70196,3,2024-09-16,
70197,4,2024-11-04,2024-11-15
70198,3,2024-08-20,2024-08-23
70199,2,2024-11-18,2024-12-01
70200,2,2024-01-02,2024-01-15
70201,3,2024-06-09,2024-06-13
70202,2,2024-05-07,2024-05-20
70203,2,2024-10-31,2024-11-08
70204,4,2024-09-01,2024-09-06
70205,3,2024-03-29,2024-04-06
70206,3,2024-04-11,
70207,3,2024-04-03,2024-04-12
70208,5,2024-04-24,
70209,1,2024-10-12,2024-10-25
70210,2,2024-02-15,2024-02-21
70211,3,2024-12-25,2024-12-28
70212,4,2024-11-12,2024-11-19
70213,2,2024-02-15,2024-02-20
70214,5,2024-03-01,
70215,5,2024-08-10,2024-08-20
70216,4,2024-03-01,2024-03-07
70217,2,2024-05-16,2024-05-26
70218,4,2024-03-07,2024-03-13
70219,5,2024-04-20,2024-04-27
70220,2,2024-08-02,2024-08-07
70221,1,2024-05-28,2024-06-03
70222,5,2024-08-18,2024-08-26
70223,5,2024-12-16,2024-12-20
70224,1,2024-08-28,
70225,3,2024-12-20,2024-12-26
70226,4,2024-12-28,2025-01-09
70227,3,2024-02-07,
70228,1,2024-01-27,2024-02-02
70229,4,2024-06-30,2024-07-13
70230,5,2024-12-29,2025-01-01
70231,1,2024-05-09,2024-05-18
70232,3,2024-07-21,2024-07-26
70233,5,2024-01-22,2024-01-29
70234,2,2024-09-14,2024-09-22
70235,4,2024-03-08,
70236,5,2024-08-09,
70237,1,2024-06-09,
70238,2,2024-09-12,2024-09-19
70239,3,2024-08-08,2024-08-15
70240,5,2024-05-15,2024-05-24
70241,2,2024-06-10,2024-06-20
70242,2,2024-10-11,2024-10-24
70243,4,2024-01-28,2024-01-31
70244,2,2024-04-03,
70245,3,2024-03-24,2024-04-02
70246,1,2024-09-10,
70247,3,2024-12-29,2025-01-08
70248,4,2024-02-27,2024-03-03
70249,1,2024-06-27,
70250,3,2024-04-02,2024-04-16
70251,5,2024-05-19,2024-06-01
70252,5,2024-04-18,2024-04-21
70253,5,2024-10-19,2024-10-23
70254,2,2024-09-12,2024-09-20
70255,1,2024-05-25,2024-06-07
70256,1,2024-07-20,2024-07-24
70257,3,2024-03-19,
70258,4,2024-12-28,2025-01-07
70259,3,2024-10-31,2024-11-08
70260,1,2024-12-01,2024-12-11
70261,3,2024-10-18,
70262,1,2024-11-25,2024-11-28
70263,1,2024-10-07,2024-10-16
70264,1,2024-07-23,2024-07-29
70265,4,2024-02-15,
70266,2,2024-03-24,2024-04-02
70267,3,2024-11-27,2024-12-10
70268,2,2024-03-02,2024-03-11
70269,3,2024-12-16,2024-12-24
70270,1,2024-07-07,2024-07-17
70271,4,2024-07-17,2024-07-29
70272,5,2024-08-04,
70273,4,2024-07-07,2024-07-16
70274,4,2024-02-17,
70275,3,2024-08-25,2024-09-07
70276,2,2024-09-10,2024-09-23
70277,5,2024-02-12,2024-02-21
70278,1,2024-09-01,2024-09-06
70279,3,2024-05-07,2024-05-14
70280,5,2024-01-25,2024-01-28
70281,5,2024-02-25,2024-03-05
70282,1,2024-08-25,2024-09-06
70283,3,2024-06-30,2024-07-04
70284,5,2024-01-09,
70285,4,2024-04-01,2024-04-10
70286,1,2024-02-12,2024-02-26
70287,3,2024-06-09,2024-06-19
70288,4,2024-11-15,2024-11-23
70289,2,2024-04-18,2024-05-02
70290,5,2024-05-12,2024-05-16
70291,4,2024-09-30,
70292,4,2024-02-29,
70293,4,2024-08-23,2024-09-05
70294,5,2024-09-06,2024-09-18
70295,3,2024-12-19,2025-01-02
70296,4,2024-06-03,
70297,2,2024-01-08,2024-01-11
70298,2,2024-01-14,2024-01-27
70299,2,2024-11-28,2024-12-11
70300,5,2024-04-07,
